name,lat,lng,location_type,accessibility_metric,accessibility_category,accessibility_code,region
Block 1 (BEDOK),1.32796879176302,103.922716018139,HDB,156.4952,High Accessibility,1,BEDOK
Block 1 (CHANGI),1.3886100383707,103.988093482829,HDB,24.9972,Poor Accessibility,3,CHANGI
Block 1 (GEYLANG),1.31129091782202,103.897703436187,HDB,173.5561,High Accessibility,1,GEYLANG
Block 1 (BUKIT MERAH),1.28644157642074,103.808286977232,HDB,101.4236,High Accessibility,1,BUKIT MERAH
Block 1 (MARINE PARADE),1.30482902187779,103.918614976369,HDB,103.7518,High Accessibility,1,MARINE PARADE
Block 1 (WOODLANDS),1.44067109860246,103.775739945213,HDB,64.4658,Poor Accessibility,3,WOODLANDS
Block 1 (BUKIT MERAH),1.27945660077329,103.817897561986,HDB,109.7575,High Accessibility,1,BUKIT MERAH
Block 1 (NOVENA),1.33051031184912,103.837543691498,HDB,89.2309,Moderate Accessibility,2,NOVENA
Block 1 (WOODLANDS),1.45481345453812,103.800069233274,HDB,48.7929,Poor Accessibility,3,WOODLANDS
Block 1A (CHANGI),1.38796658624186,103.988298872524,HDB,25.2257,Poor Accessibility,3,CHANGI
Block 1A (BUKIT MERAH),1.27960681823771,103.817790528392,HDB,110.1001,High Accessibility,1,BUKIT MERAH
Block 10 (TOA PAYOH),1.33461833377097,103.88016502252,HDB,78.6921,Moderate Accessibility,2,TOA PAYOH
Block 10 (TOA PAYOH),1.33716527577081,103.857228807914,HDB,86.3994,Moderate Accessibility,2,TOA PAYOH
Block 10 (WOODLANDS),1.44080567418718,103.777318569996,HDB,68.1468,Poor Accessibility,3,WOODLANDS
Block 10 (BUKIT MERAH),1.27773153190559,103.819769431353,HDB,106.384,High Accessibility,1,BUKIT MERAH
Block 10 (WOODLANDS),1.45428714079221,103.800262079753,HDB,50.0562,Poor Accessibility,3,WOODLANDS
Block 10A (TOA PAYOH),1.33717164294913,103.857793534302,HDB,86.1224,Moderate Accessibility,2,TOA PAYOH
Block 10B (TOA PAYOH),1.33716136352623,103.858353639387,HDB,85.8889,Moderate Accessibility,2,TOA PAYOH
Block 10C (TOA PAYOH),1.33691012993385,103.858049346644,HDB,86.2721,Moderate Accessibility,2,TOA PAYOH
Block 10E (BEDOK),1.3216200934601,103.937040959341,HDB,123.3309,High Accessibility,1,BEDOK
Block 10F (BEDOK),1.32221773472774,103.937001345916,HDB,130.3596,High Accessibility,1,BEDOK
Block 100 (NOVENA),1.32077947735201,103.854348739922,HDB,109.8172,High Accessibility,1,NOVENA
Block 101 (ANG MO KIO),1.37026158388486,103.839467898898,HDB,125.1388,High Accessibility,1,ANG MO KIO
Block 101 (BUKIT MERAH),1.27146256556443,103.825683545567,HDB,99.7657,High Accessibility,1,BUKIT MERAH
Block 101 (SEMBAWANG),1.45139998591606,103.830859953414,HDB,62.6782,Poor Accessibility,3,SEMBAWANG
Block 101 (CLEMENTI),1.32208936757694,103.76893341249,HDB,90.4129,Moderate Accessibility,2,CLEMENTI
Block 101 (HOUGANG),1.35493747800562,103.891360573947,HDB,87.1397,Moderate Accessibility,2,HOUGANG
Block 101 (PASIR RIS),1.36705021516612,103.958181857039,HDB,76.4457,Moderate Accessibility,2,PASIR RIS
Block 101 (SERANGOON),1.37103631988089,103.870360910842,HDB,78.5612,Moderate Accessibility,2,SERANGOON
Block 101 (NOVENA),1.32041710187602,103.853813946402,HDB,114.9268,High Accessibility,1,NOVENA
Block 101 (YISHUN),1.43053589946874,103.827668593789,HDB,122.9252,High Accessibility,1,YISHUN
Block 101A (SEMBAWANG),1.45173892803325,103.83045410628,HDB,62.7073,Poor Accessibility,3,SEMBAWANG
Block 101B (SEMBAWANG),1.45166310353079,103.831174909166,HDB,61.4053,Poor Accessibility,3,SEMBAWANG
Block 101C (YISHUN),1.43153255083691,103.827987575179,HDB,124.4001,High Accessibility,1,YISHUN
Block 102 (ANG MO KIO),1.37065009249377,103.839410348811,HDB,125.6246,High Accessibility,1,ANG MO KIO
Block 102 (BUKIT MERAH),1.2717673800708,103.82662196779,HDB,95.3512,High Accessibility,1,BUKIT MERAH
Block 102 (SEMBAWANG),1.45183449125061,103.832106719013,HDB,59.1568,Poor Accessibility,3,SEMBAWANG
Block 102 (CLEMENTI),1.32228557225905,103.769201884359,HDB,88.5222,Moderate Accessibility,2,CLEMENTI
Block 102 (BUKIT MERAH),1.28033700695655,103.813510155208,HDB,92.2991,High Accessibility,1,BUKIT MERAH
Block 102 (HOUGANG),1.35496446293882,103.890855054687,HDB,89.9911,Moderate Accessibility,2,HOUGANG
Block 102 (PASIR RIS),1.36748427336516,103.958041055125,HDB,76.6921,Moderate Accessibility,2,PASIR RIS
Block 102 (SERANGOON),1.37084327297737,103.871153606719,HDB,76.652,Moderate Accessibility,2,SERANGOON
Block 102A (SEMBAWANG),1.45119390519494,103.832227554636,HDB,60.2759,Poor Accessibility,3,SEMBAWANG
Block 102A (BUKIT MERAH),1.28029134553105,103.81333235886,HDB,91.4488,High Accessibility,1,BUKIT MERAH
Block 102B (SEMBAWANG),1.45123970424367,103.83143636512,HDB,61.8301,Poor Accessibility,3,SEMBAWANG
Block 102C (SEMBAWANG),1.4515599303551,103.831765050319,HDB,60.4352,Poor Accessibility,3,SEMBAWANG
Block 103 (ANG MO KIO),1.37101657804604,103.839304839187,HDB,125.4518,High Accessibility,1,ANG MO KIO
Block 103 (BUKIT MERAH),1.27208558524996,103.825495615402,HDB,97.5064,High Accessibility,1,BUKIT MERAH
Block 103 (SEMBAWANG),1.4506760541128,103.830757597034,HDB,64.6183,Poor Accessibility,3,SEMBAWANG
Block 103 (CLEMENTI),1.32258854750628,103.769176205799,HDB,87.2035,Moderate Accessibility,2,CLEMENTI
Block 103 (HOUGANG),1.35528223434405,103.89036014824,HDB,94.3419,High Accessibility,1,HOUGANG
Block 103 (NOVENA),1.32734143333539,103.852780650365,HDB,118.8586,High Accessibility,1,NOVENA
Block 103 (PASIR RIS),1.36769508123853,103.958404209993,HDB,75.4685,Moderate Accessibility,2,PASIR RIS
Block 103 (SERANGOON),1.37067353047523,103.870263924296,HDB,79.4351,Moderate Accessibility,2,SERANGOON
Block 103A (SEMBAWANG),1.45103006132424,103.830534008712,HDB,64.2723,Poor Accessibility,3,SEMBAWANG
Block 103A (BUKIT MERAH),1.28070197642689,103.813353428682,HDB,92.6787,High Accessibility,1,BUKIT MERAH
Block 103B (SEMBAWANG),1.45056599465441,103.831238741555,HDB,63.785,Poor Accessibility,3,SEMBAWANG
Block 103B (BUKIT MERAH),1.28073692384594,103.813135678562,HDB,91.8549,High Accessibility,1,BUKIT MERAH
Block 104 (BUKIT MERAH),1.27239853587858,103.825625504182,HDB,96.0155,High Accessibility,1,BUKIT MERAH
Block 104 (SEMBAWANG),1.45027967438307,103.831896894891,HDB,62.9313,Poor Accessibility,3,SEMBAWANG
Block 104 (CLEMENTI),1.32294968512724,103.769189152266,HDB,85.5871,Moderate Accessibility,2,CLEMENTI
Block 104 (HOUGANG),1.35478438666054,103.890318475929,HDB,92.2734,High Accessibility,1,HOUGANG
Block 104 (NOVENA),1.32780496961457,103.853262284564,HDB,113.7166,High Accessibility,1,NOVENA
Block 104 (PASIR RIS),1.36795278578738,103.958702642513,HDB,74.4,Moderate Accessibility,2,PASIR RIS
Block 104 (SERANGOON),1.37059316193953,103.871086801722,HDB,77.2551,Moderate Accessibility,2,SERANGOON
Block 104 (NOVENA),1.3207995912383,103.853327785421,HDB,121.125,High Accessibility,1,NOVENA
Block 104A (ANG MO KIO),1.37182700854497,103.838803655863,HDB,122.067,High Accessibility,1,ANG MO KIO
Block 104A (SEMBAWANG),1.45035225780871,103.832262400576,HDB,61.9635,Poor Accessibility,3,SEMBAWANG
Block 104A (BUKIT MERAH),1.28045561330579,103.812317740785,HDB,87.791,Moderate Accessibility,2,BUKIT MERAH
Block 104B (ANG MO KIO),1.37151151416054,103.838458787545,HDB,118.1676,High Accessibility,1,ANG MO KIO
Block 104B (BUKIT MERAH),1.28049143987378,103.812100811742,HDB,87.0082,Moderate Accessibility,2,BUKIT MERAH
Block 104C (ANG MO KIO),1.37193315907216,103.838330266768,HDB,117.6296,High Accessibility,1,ANG MO KIO
Block 104C (BUKIT MERAH),1.28054679818301,103.811571533865,HDB,86.2614,Moderate Accessibility,2,BUKIT MERAH
Block 104D (SEMBAWANG),1.44985632437762,103.83236697954,HDB,62.7451,Poor Accessibility,3,SEMBAWANG
Block 105 (ANG MO KIO),1.37231328287072,103.837601112788,HDB,110.8763,High Accessibility,1,ANG MO KIO
Block 105 (BUKIT MERAH),1.27248301325334,103.824703021719,HDB,98.1647,High Accessibility,1,BUKIT MERAH
Block 105 (CLEMENTI),1.32271179028812,103.76988810369,HDB,84.5354,Moderate Accessibility,2,CLEMENTI
Block 105 (BUKIT MERAH),1.28089298012014,103.812355313333,HDB,88.9664,Moderate Accessibility,2,BUKIT MERAH
Block 105 (HOUGANG),1.35408273910145,103.890130407955,HDB,91.3819,High Accessibility,1,HOUGANG
Block 105 (NOVENA),1.32857909987613,103.85387252356,HDB,107.1285,High Accessibility,1,NOVENA
Block 105 (PASIR RIS),1.36847895344914,103.957111490512,HDB,79.0943,Moderate Accessibility,2,PASIR RIS
Block 105 (SERANGOON),1.37024745860601,103.870225980491,HDB,80.2448,Moderate Accessibility,2,SERANGOON
Block 105 (BUKIT MERAH),1.27380075624949,103.834482197156,HDB,148.045,High Accessibility,1,BUKIT MERAH
Block 105 (YISHUN),1.43171836662838,103.828114256975,HDB,124.8929,High Accessibility,1,YISHUN
Block 105A (BUKIT MERAH),1.28107116546835,103.811405730352,HDB,87.6681,Moderate Accessibility,2,BUKIT MERAH
Block 105B (BUKIT MERAH),1.28110806806352,103.811133013507,HDB,87.3601,Moderate Accessibility,2,BUKIT MERAH
Block 106 (ANG MO KIO),1.37193370323489,103.837486061851,HDB,109.3132,High Accessibility,1,ANG MO KIO
Block 106 (BUKIT MERAH),1.2729893703256,103.825626826099,HDB,94.3621,High Accessibility,1,BUKIT MERAH
Block 106 (CLEMENTI),1.32191467282846,103.769815226286,HDB,88.0091,Moderate Accessibility,2,CLEMENTI
Block 106 (HOUGANG),1.35370313485788,103.890680820842,HDB,87.064,Moderate Accessibility,2,HOUGANG
Block 106 (NOVENA),1.32847655795117,103.854698874866,HDB,101.2427,High Accessibility,1,NOVENA
Block 106 (PASIR RIS),1.36801255048337,103.95765313312,HDB,77.6355,Moderate Accessibility,2,PASIR RIS
Block 106 (SERANGOON),1.37024462107298,103.87082295041,HDB,78.5735,Moderate Accessibility,2,SERANGOON
Block 106 (BUKIT MERAH),1.27356673846343,103.83405815603,HDB,140.309,High Accessibility,1,BUKIT MERAH
Block 106 (YISHUN),1.43147861432349,103.827452004212,HDB,117.9152,High Accessibility,1,YISHUN
Block 106A (BUKIT MERAH),1.28061364977894,103.810967870883,HDB,85.5044,Moderate Accessibility,2,BUKIT MERAH
Block 106B (BUKIT MERAH),1.28064950442563,103.810750913525,HDB,85.2671,Moderate Accessibility,2,BUKIT MERAH
Block 107 (ANG MO KIO),1.37138400081003,103.837381409794,HDB,107.5747,High Accessibility,1,ANG MO KIO
Block 107 (BUKIT MERAH),1.27310165475122,103.824508572172,HDB,96.3148,High Accessibility,1,BUKIT MERAH
Block 107 (SEMBAWANG),1.44967607732448,103.832808168458,HDB,62.0984,Poor Accessibility,3,SEMBAWANG
Block 107 (CLEMENTI),1.32225475067051,103.769960685492,HDB,86.0718,Moderate Accessibility,2,CLEMENTI
Block 107 (HOUGANG),1.35343419106776,103.890669732271,HDB,86.5199,Moderate Accessibility,2,HOUGANG
Block 107 (NOVENA),1.32785332684887,103.854993724632,HDB,100.1562,High Accessibility,1,NOVENA
Block 107 (PASIR RIS),1.36750966709317,103.957518917808,HDB,78.2898,Moderate Accessibility,2,PASIR RIS
Block 107 (SERANGOON),1.36990039748774,103.870224885633,HDB,80.8179,Moderate Accessibility,2,SERANGOON
Block 107 (BUKIT MERAH),1.27359495858443,103.834917864208,HDB,148.5379,High Accessibility,1,BUKIT MERAH
Block 107 (YISHUN),1.43221807625653,103.827520202898,HDB,115.5445,High Accessibility,1,YISHUN
Block 107A (SEMBAWANG),1.44990474622,103.832979240964,HDB,61.2697,Poor Accessibility,3,SEMBAWANG
Block 107A (CLEMENTI),1.32212591757233,103.770069419212,HDB,86.1985,Moderate Accessibility,2,CLEMENTI
Block 108 (ANG MO KIO),1.37094273993861,103.837974822369,HDB,112.391,High Accessibility,1,ANG MO KIO
Block 108 (BUKIT MERAH),1.27337413706546,103.825328120716,HDB,94.0797,High Accessibility,1,BUKIT MERAH
Block 108 (CLEMENTI),1.32212392900686,103.770265903384,HDB,85.5227,Moderate Accessibility,2,CLEMENTI
Block 108 (BUKIT MERAH),1.28096680702384,103.810298189643,HDB,85.5658,Moderate Accessibility,2,BUKIT MERAH
Block 108 (HOUGANG),1.35277219646669,103.890098621423,HDB,88.0484,Moderate Accessibility,2,HOUGANG
Block 108 (NOVENA),1.32838935725024,103.855750872335,HDB,93.9919,High Accessibility,1,NOVENA
Block 108 (PASIR RIS),1.36747877864087,103.95701769761,HDB,79.8449,Moderate Accessibility,2,PASIR RIS
Block 108 (SERANGOON),1.36990058539467,103.871279457595,HDB,77.8624,Moderate Accessibility,2,SERANGOON
Block 108A (CLEMENTI),1.32225838486098,103.77014655331,HDB,85.4151,Moderate Accessibility,2,CLEMENTI
Block 108A (BUKIT MERAH),1.28086493860927,103.810142595769,HDB,84.9709,Moderate Accessibility,2,BUKIT MERAH
Block 108A (PASIR RIS),1.36797295672919,103.957016865091,HDB,79.6576,Moderate Accessibility,2,PASIR RIS
Block 109 (ANG MO KIO),1.37009653758337,103.837687775294,HDB,107.9391,High Accessibility,1,ANG MO KIO
Block 109 (BUKIT MERAH),1.27392939929265,103.825310761145,HDB,94.2921,High Accessibility,1,BUKIT MERAH
Block 109 (CLEMENTI),1.32189101790957,103.770595265822,HDB,85.2166,Moderate Accessibility,2,CLEMENTI
Block 109 (PASIR RIS),1.3684636800666,103.956009070114,HDB,82.6543,Moderate Accessibility,2,PASIR RIS
Block 109 (SERANGOON),1.36943351823831,103.870511407041,HDB,80.7805,Moderate Accessibility,2,SERANGOON
Block 109 (NOVENA),1.32714817577656,103.855700914421,HDB,95.8925,High Accessibility,1,NOVENA
Block 109A (CLEMENTI),1.32166986600207,103.770351564503,HDB,86.9622,Moderate Accessibility,2,CLEMENTI
Block 109A (BUKIT MERAH),1.28095771309777,103.809440153696,HDB,84.0862,Moderate Accessibility,2,BUKIT MERAH
Block 109B (BUKIT MERAH),1.28099937159398,103.809225279521,HDB,83.8509,Moderate Accessibility,2,BUKIT MERAH
Block 11 (BUKIT MERAH),1.28662190407489,103.808963346663,HDB,101.36,High Accessibility,1,BUKIT MERAH
Block 11 (TOA PAYOH),1.33500895047711,103.880706259667,HDB,77.6428,Moderate Accessibility,2,TOA PAYOH
Block 11 (TOA PAYOH),1.33723344302177,103.858841063408,HDB,85.6006,Moderate Accessibility,2,TOA PAYOH
Block 11 (WOODLANDS),1.44039399880253,103.777942285238,HDB,71.3956,Poor Accessibility,3,WOODLANDS
Block 11 (BUKIT MERAH),1.27736813225761,103.818651524334,HDB,101.024,High Accessibility,1,BUKIT MERAH
Block 11A (TOA PAYOH),1.33664811411799,103.859294955765,HDB,86.2739,Moderate Accessibility,2,TOA PAYOH
Block 110 (ANG MO KIO),1.37045937010888,103.837419259859,HDB,106.3251,High Accessibility,1,ANG MO KIO
Block 110 (BUKIT MERAH),1.27380415706758,103.827057699596,HDB,96.1641,High Accessibility,1,BUKIT MERAH
Block 110 (CLEMENTI),1.32284507823139,103.770898772473,HDB,81.1367,Moderate Accessibility,2,CLEMENTI
Block 110 (BUKIT MERAH),1.28138753916039,103.809362548941,HDB,85.423,Moderate Accessibility,2,BUKIT MERAH
Block 110 (PASIR RIS),1.36877568746945,103.956300375904,HDB,81.5559,Moderate Accessibility,2,PASIR RIS
Block 110 (SERANGOON),1.36938351007707,103.8714075184,HDB,78.3667,Moderate Accessibility,2,SERANGOON
Block 110 (NOVENA),1.32682122581121,103.855890714758,HDB,94.8276,High Accessibility,1,NOVENA
Block 110 (YISHUN),1.43376057937716,103.828993389444,HDB,120.7095,High Accessibility,1,YISHUN
Block 110A (BUKIT MERAH),1.28142824815036,103.809242812919,HDB,85.3589,Moderate Accessibility,2,BUKIT MERAH
Block 110B (BUKIT MERAH),1.2814865918969,103.808729744694,HDB,84.6615,Moderate Accessibility,2,BUKIT MERAH
Block 111 (ANG MO KIO),1.37085148985913,103.837298157413,HDB,105.9609,High Accessibility,1,ANG MO KIO
Block 111 (BUKIT MERAH),1.27439718126241,103.827239610439,HDB,99.1252,High Accessibility,1,BUKIT MERAH
Block 111 (CLEMENTI),1.32321605375506,103.771126100117,HDB,79.4851,Moderate Accessibility,2,CLEMENTI
Block 111 (JURONG WEST),1.33388939555115,103.723306118882,HDB,77.7745,Moderate Accessibility,2,JURONG WEST
Block 111 (PASIR RIS),1.36805791982647,103.956378453152,HDB,81.6348,Moderate Accessibility,2,PASIR RIS
Block 111 (SERANGOON),1.36904731272801,103.870584006425,HDB,81.2106,Moderate Accessibility,2,SERANGOON
Block 111 (NOVENA),1.32658975917056,103.856187917486,HDB,92.9044,High Accessibility,1,NOVENA
Block 111 (YISHUN),1.43321263970177,103.828617498413,HDB,120.9164,High Accessibility,1,YISHUN
Block 111A (BUKIT MERAH),1.28112269302349,103.808687895607,HDB,83.3056,Moderate Accessibility,2,BUKIT MERAH
Block 111A (NOVENA),1.32612552903646,103.855672661254,HDB,96.8438,High Accessibility,1,NOVENA
Block 111B (BUKIT MERAH),1.28116510147179,103.808471760006,HDB,83.0502,Moderate Accessibility,2,BUKIT MERAH
Block 112 (ANG MO KIO),1.37127865145519,103.835766565741,HDB,93.3958,High Accessibility,1,ANG MO KIO
Block 112 (BUKIT MERAH),1.27446978398017,103.825878114028,HDB,95.6175,High Accessibility,1,BUKIT MERAH
Block 112 (CLEMENTI),1.32330123788358,103.769853488209,HDB,82.4941,Moderate Accessibility,2,CLEMENTI
Block 112 (JURONG WEST),1.33388558101654,103.723688445754,HDB,76.73,Moderate Accessibility,2,JURONG WEST
Block 112 (PASIR RIS),1.36766703141414,103.955940997009,HDB,83.0934,Moderate Accessibility,2,PASIR RIS
Block 112 (SERANGOON),1.36919996934693,103.871588808817,HDB,78.1745,Moderate Accessibility,2,SERANGOON
Block 112 (NOVENA),1.32600154062314,103.856732205989,HDB,89.4721,Moderate Accessibility,2,NOVENA
Block 112 (YISHUN),1.43416864539746,103.829054979214,HDB,120.9207,High Accessibility,1,YISHUN
Block 112A (BUKIT MERAH),1.28147636173322,103.808148105183,HDB,83.5392,Moderate Accessibility,2,BUKIT MERAH
Block 112A (NOVENA),1.32656639107948,103.856747106239,HDB,89.1517,Moderate Accessibility,2,NOVENA
Block 112B (BUKIT MERAH),1.28156873918268,103.80773165728,HDB,83.0487,Moderate Accessibility,2,BUKIT MERAH
Block 112C (BUKIT MERAH),1.28131574987693,103.807861854014,HDB,82.3968,Moderate Accessibility,2,BUKIT MERAH
Block 113 (ANG MO KIO),1.37178517550685,103.835965695119,HDB,95.2498,High Accessibility,1,ANG MO KIO
Block 113 (BUKIT MERAH),1.27477013494182,103.826932277494,HDB,99.7428,High Accessibility,1,BUKIT MERAH
Block 113 (CLEMENTI),1.32368401078529,103.77013234931,HDB,80.5611,Moderate Accessibility,2,CLEMENTI
Block 113 (BUKIT MERAH),1.28141986196531,103.807286875557,HDB,81.5743,Moderate Accessibility,2,BUKIT MERAH
Block 113 (HOUGANG),1.35356905255693,103.888705665044,HDB,99.1845,High Accessibility,1,HOUGANG
Block 113 (PASIR RIS),1.36805525886307,103.955767151318,HDB,83.5512,Moderate Accessibility,2,PASIR RIS
Block 113 (SERANGOON),1.36877682866954,103.870474929987,HDB,81.9564,Moderate Accessibility,2,SERANGOON
Block 113 (JURONG WEST),1.33318449829266,103.724354324887,HDB,72.8789,Poor Accessibility,3,JURONG WEST
Block 113 (NOVENA),1.32583330364152,103.857179319976,HDB,86.6172,Moderate Accessibility,2,NOVENA
Block 113 (YISHUN),1.43513580201461,103.828873241093,HDB,117.6166,High Accessibility,1,YISHUN
Block 114 (ANG MO KIO),1.37257962452704,103.836220813247,HDB,97.4732,High Accessibility,1,ANG MO KIO
Block 114 (BUKIT MERAH),1.27507181850164,103.825887190072,HDB,97.3172,High Accessibility,1,BUKIT MERAH
Block 114 (CLEMENTI),1.32391547713763,103.770629507887,HDB,78.757,Moderate Accessibility,2,CLEMENTI
Block 114 (BUKIT MERAH),1.28175927117793,103.806862236642,HDB,81.88,Moderate Accessibility,2,BUKIT MERAH
Block 114 (JURONG WEST),1.33378944321337,103.72411125115,HDB,75.435,Moderate Accessibility,2,JURONG WEST
Block 114 (HOUGANG),1.35335659508707,103.889053360173,HDB,96.0945,High Accessibility,1,HOUGANG
Block 114 (PASIR RIS),1.38309800865638,103.944602353612,HDB,56.9866,Poor Accessibility,3,PASIR RIS
Block 114 (PASIR RIS),1.36845058392966,103.954961424604,HDB,85.9895,Moderate Accessibility,2,PASIR RIS
Block 114 (TOA PAYOH),1.33677492855247,103.863306370924,HDB,85.3106,Moderate Accessibility,2,TOA PAYOH
Block 114 (SERANGOON),1.3688522558684,103.871488888571,HDB,79.0355,Moderate Accessibility,2,SERANGOON
Block 114 (NOVENA),1.3254120484659,103.857481385973,HDB,84.7651,Moderate Accessibility,2,NOVENA
Block 114 (YISHUN),1.43413792566359,103.827020312888,HDB,103.8661,High Accessibility,1,YISHUN
Block 114A (PASIR RIS),1.38304058642538,103.944701815968,HDB,57.1969,Poor Accessibility,3,PASIR RIS
Block 115 (ANG MO KIO),1.37295570309756,103.836400137659,HDB,98.9196,High Accessibility,1,ANG MO KIO
Block 115 (BUKIT MERAH),1.27535201369639,103.826950180582,HDB,103.3626,High Accessibility,1,BUKIT MERAH
Block 115 (CLEMENTI),1.32354513274251,103.771328752409,HDB,78.1486,Moderate Accessibility,2,CLEMENTI
Block 115 (JURONG WEST),1.33367081421694,103.724659608331,HDB,73.9409,Moderate Accessibility,2,JURONG WEST
Block 115 (HOUGANG),1.35276525799641,103.887876084862,HDB,100.8624,High Accessibility,1,HOUGANG
Block 115 (TOA PAYOH),1.33726999806036,103.862806558366,HDB,84.0214,Moderate Accessibility,2,TOA PAYOH
Block 115 (SERANGOON),1.3681312354317,103.870576991283,HDB,82.7355,Moderate Accessibility,2,SERANGOON
Block 115 (NOVENA),1.32626357738979,103.857337481485,HDB,85.5254,Moderate Accessibility,2,NOVENA
Block 115 (YISHUN),1.43456484461254,103.827973678337,HDB,111.2057,High Accessibility,1,YISHUN
Block 115A (BEDOK),1.3315523723306,103.937536279027,HDB,131.5413,High Accessibility,1,BEDOK
Block 115A (JURONG WEST),1.3340285686591,103.724539364065,HDB,75.2148,Moderate Accessibility,2,JURONG WEST
Block 115A (YISHUN),1.43331769000776,103.827515443899,HDB,109.737,High Accessibility,1,YISHUN
Block 115B (YISHUN),1.43344153477202,103.827060237241,HDB,104.8756,High Accessibility,1,YISHUN
Block 115C (YISHUN),1.43378416383121,103.827489711438,HDB,108.1992,High Accessibility,1,YISHUN
Block 116 (ANG MO KIO),1.37334635014911,103.8364593481,HDB,99.0494,High Accessibility,1,ANG MO KIO
Block 116 (BEDOK),1.33100823526591,103.938066838998,HDB,130.3504,High Accessibility,1,BEDOK
Block 116 (CLEMENTI),1.32411253933745,103.771925036203,HDB,75.5922,Moderate Accessibility,2,CLEMENTI
Block 116 (JURONG WEST),1.3348098788008,103.723257417625,HDB,80.9481,Moderate Accessibility,2,JURONG WEST
Block 116 (HOUGANG),1.35313871987326,103.887727360873,HDB,103.9855,High Accessibility,1,HOUGANG
Block 116 (NOVENA),1.32769993704525,103.861236369481,HDB,83.7149,Moderate Accessibility,2,NOVENA
Block 116 (TOA PAYOH),1.33682600128685,103.862613324599,HDB,85.3762,Moderate Accessibility,2,TOA PAYOH
Block 116 (SERANGOON),1.3684875699447,103.871588685744,HDB,79.3856,Moderate Accessibility,2,SERANGOON
Block 116 (YISHUN),1.43502750249052,103.82813490143,HDB,111.5962,High Accessibility,1,YISHUN
Block 116A (BEDOK),1.33099522639021,103.937244039582,HDB,138.5957,High Accessibility,1,BEDOK
Block 116A (NOVENA),1.3270531250321,103.860558381575,HDB,81.7142,Moderate Accessibility,2,NOVENA
Block 116B (NOVENA),1.32754908001444,103.860807411661,HDB,83.0662,Moderate Accessibility,2,NOVENA
Block 117 (ANG MO KIO),1.3737170825368,103.835610469339,HDB,90.8568,Moderate Accessibility,2,ANG MO KIO
Block 117 (BEDOK),1.33065454769523,103.938496275607,HDB,127.8529,High Accessibility,1,BEDOK
Block 117 (CLEMENTI),1.32446058239498,103.771184563895,HDB,76.3018,Moderate Accessibility,2,CLEMENTI
Block 117 (JURONG WEST),1.33509694926926,103.723073150935,HDB,82.3544,Moderate Accessibility,2,JURONG WEST
Block 117 (HOUGANG),1.35361343990292,103.888145554328,HDB,103.5102,High Accessibility,1,HOUGANG
Block 117 (NOVENA),1.32833524169702,103.861652727938,HDB,85.875,Moderate Accessibility,2,NOVENA
Block 117 (PASIR RIS),1.36789487704032,103.954721651011,HDB,86.7193,Moderate Accessibility,2,PASIR RIS
Block 117 (TOA PAYOH),1.33600825252357,103.863020849819,HDB,87.6871,Moderate Accessibility,2,TOA PAYOH
Block 117 (SERANGOON),1.3679757504585,103.870862723896,HDB,82.2191,Moderate Accessibility,2,SERANGOON
Block 117 (TAMPINES),1.34523592464479,103.946197624506,HDB,134.6042,High Accessibility,1,TAMPINES
Block 117 (YISHUN),1.43555874650871,103.827699051305,HDB,106.5987,High Accessibility,1,YISHUN
Block 117A (JURONG WEST),1.33537441517425,103.723475577222,HDB,82.2589,Moderate Accessibility,2,JURONG WEST
Block 117A (NOVENA),1.3282335842715,103.861138402914,HDB,85.0677,Moderate Accessibility,2,NOVENA
Block 117B (NOVENA),1.32816494843873,103.860801944702,HDB,84.5716,Moderate Accessibility,2,NOVENA
Block 118 (ANG MO KIO),1.37329593649654,103.835475719134,HDB,90.4373,Moderate Accessibility,2,ANG MO KIO
Block 118 (BEDOK),1.33043385999052,103.937481669683,HDB,140.2921,High Accessibility,1,BEDOK
Block 118 (CLEMENTI),1.32491798651946,103.771891149087,HDB,74.1455,Moderate Accessibility,2,CLEMENTI
Block 118 (JURONG WEST),1.33538115974338,103.722906605661,HDB,83.6712,Moderate Accessibility,2,JURONG WEST
Block 118 (PASIR RIS),1.38278150967106,103.944993382857,HDB,58.0838,Poor Accessibility,3,PASIR RIS
Block 118 (PASIR RIS),1.36714920047941,103.954805267521,HDB,86.3394,Moderate Accessibility,2,PASIR RIS
Block 118 (TOA PAYOH),1.33548147418923,103.862653751675,HDB,89.0565,Moderate Accessibility,2,TOA PAYOH
Block 118 (SERANGOON),1.36759548630876,103.870917753447,HDB,82.7161,Moderate Accessibility,2,SERANGOON
Block 118 (YISHUN),1.43598707842969,103.828641482509,HDB,112.9837,High Accessibility,1,YISHUN
Block 118A (JURONG WEST),1.3355807322376,103.723317929284,HDB,83.3006,Moderate Accessibility,2,JURONG WEST
Block 119 (BEDOK),1.33018552011132,103.938716613648,HDB,127.4687,High Accessibility,1,BEDOK
Block 119 (BUKIT MERAH),1.28593893475633,103.804715808324,HDB,96.1632,High Accessibility,1,BUKIT MERAH
Block 119 (JURONG WEST),1.33529905914454,103.724712974749,HDB,79.0919,Moderate Accessibility,2,JURONG WEST
Block 119 (PASIR RIS),1.36752490300235,103.954781393933,HDB,86.4925,Moderate Accessibility,2,PASIR RIS
Block 119 (SERANGOON),1.36748142862257,103.871491752337,HDB,81.4048,Moderate Accessibility,2,SERANGOON
