name,lat,lng,location_type,accessibility_metric,accessibility_category,accessibility_code,region
Block 183C (JURONG WEST),1.34865235705733,103.709098000538,HDB,90.7725,Moderate Accessibility,2,JURONG WEST
Block 183D (JURONG WEST),1.34909073283024,103.709042656994,HDB,88.0027,Moderate Accessibility,2,JURONG WEST
Block 184 (PASIR RIS),1.36523251393642,103.960283310204,HDB,70.8762,Poor Accessibility,3,PASIR RIS
Block 184 (JURONG WEST),1.33332140109047,103.722288614113,HDB,80.4035,Moderate Accessibility,2,JURONG WEST
Block 184A (JURONG WEST),1.33286543426897,103.721889284041,HDB,80.2266,Moderate Accessibility,2,JURONG WEST
Block 185 (JURONG WEST),1.34640538174578,103.71077711286,HDB,102.2191,High Accessibility,1,JURONG WEST
Block 185 (PASIR RIS),1.36573012825405,103.959903670796,HDB,71.821,Poor Accessibility,3,PASIR RIS
Block 185A (PASIR RIS),1.36529365095431,103.959957713375,HDB,71.7876,Poor Accessibility,3,PASIR RIS
Block 186 (JURONG WEST),1.34561976984928,103.711613047955,HDB,103.6861,High Accessibility,1,JURONG WEST
Block 186 (PASIR RIS),1.3651306413506,103.959433090412,HDB,73.3189,Poor Accessibility,3,PASIR RIS
Block 187 (JURONG WEST),1.34505773588933,103.710699802755,HDB,113.2928,High Accessibility,1,JURONG WEST
Block 187 (PASIR RIS),1.36478561975397,103.959292481623,HDB,73.772,Moderate Accessibility,2,PASIR RIS
Block 188 (PASIR RIS),1.36529812070636,103.959160173062,HDB,74.0653,Moderate Accessibility,2,PASIR RIS
Block 188C (BEDOK),1.33180346002147,103.940785939953,HDB,102.6933,High Accessibility,1,BEDOK
Block 188D (BEDOK),1.33168420406758,103.940493118435,HDB,105.1111,High Accessibility,1,BEDOK
Block 189 (JURONG WEST),1.34442668624643,103.711462801071,HDB,113.0052,High Accessibility,1,JURONG WEST
Block 189 (PASIR RIS),1.36558937083908,103.959037047449,HDB,74.3588,Moderate Accessibility,2,PASIR RIS
Block 19 (BEDOK),1.32723388955932,103.922217484759,HDB,146.972,High Accessibility,1,BEDOK
Block 19 (HOUGANG),1.36378961600309,103.891813266061,HDB,120.7079,High Accessibility,1,HOUGANG
Block 19 (NOVENA),1.32760704104366,103.859860478714,HDB,82.7439,Moderate Accessibility,2,NOVENA
Block 19 (TOA PAYOH),1.33464636166187,103.880994623053,HDB,77.8566,Moderate Accessibility,2,TOA PAYOH
Block 19 (TOA PAYOH),1.33550840671604,103.856434376839,HDB,87.2475,Moderate Accessibility,2,TOA PAYOH
Block 19 (WOODLANDS),1.44328204285332,103.777294228046,HDB,59.7379,Poor Accessibility,3,WOODLANDS
Block 19 (MARINE PARADE),1.30452210196584,103.915054010998,HDB,120.6012,High Accessibility,1,MARINE PARADE
Block 19 (BUKIT MERAH),1.27746278820851,103.822653020911,HDB,109.8233,High Accessibility,1,BUKIT MERAH
Block 19A (NOVENA),1.32755132252899,103.859468820285,HDB,82.4841,Moderate Accessibility,2,NOVENA
Block 19A (TOA PAYOH),1.33475933595083,103.856537998928,HDB,87.0895,Moderate Accessibility,2,TOA PAYOH
Block 19B (NOVENA),1.32780107082477,103.859634811082,HDB,83.0484,Moderate Accessibility,2,NOVENA
Block 190 (JURONG WEST),1.34507676207703,103.711850425927,HDB,105.86,High Accessibility,1,JURONG WEST
Block 190 (PASIR RIS),1.36552479300537,103.958657337254,HDB,75.4639,Moderate Accessibility,2,PASIR RIS
Block 191 (JURONG WEST),1.34376568912059,103.712164032913,HDB,111.8275,High Accessibility,1,JURONG WEST
Block 191 (PASIR RIS),1.36606696993045,103.95873102026,HDB,75.1309,Moderate Accessibility,2,PASIR RIS
Block 192 (PASIR RIS),1.36624733463523,103.959056952085,HDB,74.1213,Moderate Accessibility,2,PASIR RIS
Block 193 (PASIR RIS),1.36605107630216,103.959389712733,HDB,73.2103,Poor Accessibility,3,PASIR RIS
Block 194 (TOA PAYOH),1.33093933675526,103.858181909317,HDB,87.487,Moderate Accessibility,2,TOA PAYOH
Block 194 (PASIR RIS),1.36599758461815,103.959675297763,HDB,72.3962,Poor Accessibility,3,PASIR RIS
Block 194A (TOA PAYOH),1.33111982619355,103.858547875249,HDB,87.9238,Moderate Accessibility,2,TOA PAYOH
Block 195 (TOA PAYOH),1.33008102222991,103.858354604112,HDB,86.6112,Moderate Accessibility,2,TOA PAYOH
Block 195 (PASIR RIS),1.36639650930501,103.960047020433,HDB,71.1651,Poor Accessibility,3,PASIR RIS
Block 195A (TOA PAYOH),1.33040252328931,103.858582456351,HDB,87.2183,Moderate Accessibility,2,TOA PAYOH
Block 196 (JURONG WEST),1.3425405618243,103.713724388304,HDB,108.1808,High Accessibility,1,JURONG WEST
Block 196 (TOA PAYOH),1.33130492413517,103.859019241044,HDB,88.4784,Moderate Accessibility,2,TOA PAYOH
